Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockskinpw1_staphadapdet1	barcode03	MTS3G_adap2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode03	MTS3G_adap3	ONT_mock_typestaph_staphadapdet	
ONT_mockskinpw1_cont1	barcode03	MTS3G_cont	ONT_mock_typestaph	
ONT_mockstaph1_cont1	barcode03	MTS3G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode03	MTS3G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet1	barcode04	MTS4G_adap1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode04	MTS4G_adap2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode04	MTS4G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode04	MTS4G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockskinpw1_alladapdet1	barcode01	PW71_adap1	ONT_periwound_alladapdet	
ONT_mockskinpw1_staphadapdet1	barcode01	PW71_adap2	ONT_periwound_staphadapdet	
ONT_mockskinpw1_cont1	barcode01	PW71_cont	ONT_periwound	
ONT_mockskinpw1_alladapdet1	barcode04	PW79_adap1	ONT_periwound_alladapdet	
ONT_mockskinpw1_staphadapdet1	barcode04	PW79_adap2	ONT_periwound_staphadapdet	
ONT_mockskinpw1_cont1	barcode04	PW79_cont	ONT_periwound	
ONT_mockskinpw1_alladapdet1	barcode05	PW81_adap1	ONT_periwound_alladapdet	
ONT_mockskinpw1_staphadapdet1	barcode05	PW81_adap2	ONT_periwound_staphadapdet	
ONT_mockskinpw1_cont1	barcode05	PW81_cont	ONT_periwound	
ONT_mockskinpw1_alladapdet1	barcode09	PW88_adap1	ONT_periwound_alladapdet	
ONT_mockskinpw1_staphadapdet1	barcode09	PW88_adap2	ONT_periwound_staphadapdet	
ONT_mockskinpw1_cont1	barcode09	PW88_cont	ONT_periwound	
ONT_mockstaph1_adapdet1	barcode09	TSG1_adap1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode09	TSG1_adap2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode09	TSG1_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode09	TSG1_cont2	ONT_mock_typestaph_staphadapdet	
ONT_skin1_adap	barcode10	LF1A_adap		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on lower quality flongle to remove human sequences"
ONT_skin1_adap	barcode11	LF2A_adap		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on lower quality flongle to remove human sequences"
ONT_skin1_adap2	barcode10	LF1A_adap2		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap2	barcode11	LF2A_adap2		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap3	barcode10	LF1A_adap3		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap3	barcode11	LF2A_adap3		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap4	barcode10	LF1A_adap4		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap4	barcode11	LF2A_adap4		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap5	barcode10	LF1A_adap5		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
ONT_skin1_adap5	barcode11	LF2A_adap5		"Skin microbiome sample collected from left forearm position 2 for skin microbiome testing run 1, concentrated DNA extraction, and adaptive sequencing on higher quality flongle to remove human sequences"
